曇りのち晴れ,晴れのち曇り,85,5.1,5.5,24.9,16.8,0,3.2,西
雨,雨,96,0,49,21.8,15.4,0,2.1,東南東
雨のち曇り,雨,95,0,32,22.9,18.8,0,3.8,西南西
曇り,雨,94,0,1,21.4,17.6,0,2.1,南南東
曇り,雨,96,0,6,20.2,17,0,2,東南東
曇り,曇り,92,0,0,23.4,17.7,0,1.9,西北西
曇り,曇り,79,9.1,0,29.8,18.3,0,2.8,西北西
晴れ,晴れ,85,4.4,0,27.3,19,0,2.2,東南東
曇り,曇り,87,5.1,0,28.1,20.4,0,2,南東
晴れ,晴れ,84,6.4,0,25.7,19.6,0,4.2,東南東
曇り,曇りのち雨,88,0,0,21.9,18.5,0,4.6,東南東
曇り,曇り,87,2.3,0,26.4,18.3,0,4.5,東南東
曇り,雨,89,0,1.5,23.1,17.9,0,4.2,東南東
曇りのち晴れ,曇り,82,4,0,27,19.5,0,2.1,南
晴れ,曇り,79,12.4,0,30.6,19.7,0,3.6,東
曇り,雨,86,2.1,2,27.2,20.2,0,5.5,東
雨のち曇り,曇り,87,0.3,9,23.7,19.5,0,4.2,東南東
曇りのち晴れ,曇り,79,3.5,0,24.9,18.4,0,5.4,東南東
雨,雨,92,0,3.5,20.3,18.2,0,7.1,東南東
雨,曇り,92,0,7.5,19.2,18.2,0,7.2,東南東
雨,曇り,91,0,14,21.6,18.1,0,1.9,西
曇りのち晴れ,曇り,85,1.4,0,25.1,17.3,0,2.1,北西
曇り,曇り,86,1.8,2,28,18.6,0,3.1,東
雨のち曇り,曇り,91,0.7,9.5,23.7,19.5,0,1.8,東南東
晴れ,晴れ,85,10.8,0,26.5,19.6,0,2.3,南南東
雨,雨,89,0,1,24.2,20,0,2.7,東
雨,曇り,88,0,1.5,23.1,20.1,0,1.9,西北西
曇りのち雨,晴れ,82,1.6,0,24.6,18.3,0,2.7,西北西
晴れ,晴れ,82,8.3,0,26.2,17.5,0,1.7,南南東
晴れ,晴れ,80,10.5,0,27.3,20.7,0,1.8,南
曇りのち晴れ,晴れ,87,6.9,0,26.8,21.4,0,1.8,南南東
