date,Average temperature (Åé),Weather overview (daytime: 06:00-18:00),Weather overview (night: 18:00 to 06:00 the next day),Average vapor pressure (hPa),Average humidity (%),Average local pressure (hPa),Mean Sea Level Pressure (hPa),Minimum sea level pressure (hPa),Minimum relative humidity (%),Sunlight hours (hours),Total global solar radiation (MJ/áu),Total precipitation (mm),Maximum 10 minute precipitation (mm),Maximum temperature (ÅãC),Minimum temperature (ÅãC),Deepest snow cover (cm),Total snowfall (cm),Average wind speed (m/s),Maximum wind speed (m/s),Maximum wind speed (m/s),Maximum instantaneous wind speed (m/s),Maximum instantaneous wind speed (m/s),Maximum number of wind directions (16 directions)
,,,,,,,,,,,,,,,,,,,,wind direction,,wind direction,
,,,,,,,,,,,,,,,,,,,,,,,
2022/6/27,20.3,"Partly cloudy, then sunny",Sunny then cloudy with occasional rain,20.3,85,1003.3,1008.4,1006.7,68,5.1,18.95,5.5,3.5,24.9,16.8,0,0,3.2,6.9,northwest,9.2,West,West
2022/6/28,19,heavy rain,rain,21.2,96,1002,1007.2,1002.7,88,0,3.52,49,4,21.8,15.4,0,0,2.1,5.2,west southwest,8.1,west southwest,east southeast
2022/6/29,20.8,Partly cloudy after rain,rainy and sometimes cloudy,23.2,95,998.2,1003.3,1000.5,82,0,4.33,32,4,22.9,18.8,0,0,3.8,8.8,West,13.1,West,west southwest
2022/6/30,19.3,Cloudy with occasional rain,rainy and sometimes cloudy,21.1,94,1005.4,1010.5,1004.7,83,0,8.52,1,0.5,21.4,17.6,0,0,2.1,5.3,east southeast,7,south southeast,south southeast
2022/7/1,18.3,Cloudy with occasional rain,rainy and sometimes cloudy,20,96,1010.3,1015.5,1014,84,0,5.5,6,1.5,20.2,17,0,0,2,4.9,east,7.1,east,east southeast
2022/7/2,20.7,Cloudy with occasional rain,Partially cloudy,22.4,92,1008.6,1013.7,1012.1,81,0,7.07,0,0,23.4,17.7,0,0,1.9,4.1,west northwest,6.1,northwest,west northwest
2022/7/3,24,Partially cloudy,Partially cloudy,23.2,79,1004.7,1009.7,1007.7,60,9.1,22.88,0,0,29.8,18.3,0,0,2.8,6.5,west northwest,10.5,west northwest,west northwest
2022/7/4,23.1,partly cloudy,partly cloudy,23.9,85,1003.1,1008.1,1007,73,4.4,15.67,0,0,27.3,19,0,0,2.2,5.2,South-southwest,9.2,southwest,east southeast
2022/7/5,23.9,Partly cloudy with thunder,Partly cloudy with thunder,25.6,87,1003.9,1009,1007.7,68,5.1,20.77,0,0,28.1,20.4,0,0,2,5.5,south southeast,7.8,south southeast,southeast
2022/7/6,22.5,partly cloudy,partly cloudy,22.6,84,1007.2,1012.3,1009.7,70,6.4,22.06,0,0,25.7,19.6,0,0,4.2,7.2,east southeast,11,southeast,east southeast
2022/7/7,20.1,Cloudy with occasional rain,"Partly cloudy, then rain",20.6,88,1009.3,1014.4,1013.6,79,0,7.01,0,0,21.9,18.5,0,0,4.6,7,east,9.9,east southeast,east southeast
2022/7/8,20.4,Cloudy with occasional rain,"Partly cloudy, then occasional rain",20.8,87,1006.5,1011.6,1010.2,67,2.3,14.95,0,0,26.4,18.3,0,0,4.5,8.1,east,11.2,east,east southeast
2022/7/9,20,Cloudy with occasional rain,rainy and sometimes cloudy,20.8,89,1003.4,1008.5,1006.6,77,0,7.39,1.5,0.5,23.1,17.9,0,0,4.2,8.3,east southeast,11.7,east southeast,east southeast
2022/7/10,22.9,Cloudy then sunny with a shower,Cloudy with occasional rain,22.6,82,1001.6,1006.6,1005.2,65,4,18.39,0,0,27,19.5,0,0,2.1,5.5,south southeast,7.9,south southeast,South
2022/7/11,24.4,fine weather,Cloudy,24,79,1004.5,1009.5,1008.2,57,12.4,27.85,0,0,30.6,19.7,0,0,3.6,9.7,east southeast,13.5,east southeast,east
2022/7/12,23.1,"Partly cloudy, partly rainy, partly sunny",rain,24.3,86,1004.8,1009.9,1008.7,72,2.1,16.99,2,0.5,27.2,20.2,0,0,5.5,8.8,east southeast,14,east southeast,east
2022/7/13,20.9,Partly cloudy after rain,Cloudy with occasional rain,21.4,87,1004.9,1010,1009,64,0.3,10.01,9,0.5,23.7,19.5,0,0,4.2,6.5,east,9.2,east southeast,east southeast
2022/7/14,21.1,Partly sunny after cloudy,Cloudy with occasional rain,19.8,79,1003,1008.1,1006.6,61,3.5,17.02,0,0,24.9,18.4,0,0,5.4,8.9,east southeast,12.1,east southeast,east southeast
2022/7/15,19,rainy and sometimes cloudy,rainy and sometimes cloudy,20.3,92,1000.9,1006,1004.9,80,0,3.54,3.5,1,20.3,18.2,0,0,7.1,9.3,east southeast,16,east southeast,east southeast
2022/7/16,18.6,rainy and sometimes cloudy,Cloudy with occasional rain,19.7,92,1002.5,1007.6,1006,83,0,4.46,7.5,1,19.2,18.2,0,0,7.2,9.5,east,14.9,east,east southeast
2022/7/17,19.7,rainy and sometimes cloudy,Partly cloudy and foggy,20.9,91,997,1002.1,1000.2,75,0,4.31,14,1.5,21.6,18.1,0,0,1.9,5.8,east,10,east,West
2022/7/18,21.4,Partly sunny after cloudy,Partially cloudy,21.5,85,997.6,1002.7,1000.9,67,1.4,13.57,0,0,25.1,17.3,0,0,2.1,4.8,northwest,7.6,West,northwest
2022/7/19,22.2,"Partly cloudy, then occasional rain",Partly cloudy with thunder,23.1,86,997.7,1002.7,1000.3,66,1.8,14.81,2,1,28,18.6,0,0,3.1,6.3,east,9.6,east,east
2022/7/20,21.2,"Cloudy after rain, sometimes sunny",Cloudy,23,91,998.3,1003.4,999.5,79,0.7,9.34,9.5,2,23.7,19.5,0,0,1.8,7.7,east southeast,11.3,east southeast,east southeast
2022/7/21,23,fine weather,partly cloudy,23.6,85,1000,1005.1,1004.1,69,10.8,25.69,0,0,26.5,19.6,0,0,2.3,4.7,south southeast,7.4,southeast,south southeast
2022/7/22,21.5,rainy and sometimes cloudy,rainy and sometimes cloudy,22.7,89,999,1004.1,1002.3,77,0,6.66,1,0.5,24.2,20,0,0,2.7,5.8,east northeast,8.9,east northeast,east
