年月日,平均気温(℃),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),平均蒸気圧(hPa),平均湿度(％),平均現地気圧(hPa),平均海面気圧(hPa),最低海面気圧(hPa),最小相対湿度(％),日照時間(時間),合計全天日射量(MJ/㎡),降水量の合計(mm),10分間降水量の最大(mm),最高気温(℃),最低気温(℃),最深積雪(cm),降雪量合計(cm),平均風速(m/s),最大風速(m/s),最大風速(m/s),最大瞬間風速(m/s),最大瞬間風速(m/s),最多風向(16方位)
,,,,,,,,,,,,,,,,,,,,風向,,風向,
,,,,,,,,,,,,,,,,,,,,,,,
2022/6/27,20.3,曇一時雨後晴,晴後曇一時雨,20.3,85,1003.3,1008.4,1006.7,68,5.1,18.95,5.5,3.5,24.9,16.8,0,0,3.2,6.9,北西,9.2,西,西
2022/6/28,19,大雨,雨,21.2,96,1002,1007.2,1002.7,88,0,3.52,49,4,21.8,15.4,0,0,2.1,5.2,西南西,8.1,西南西,東南東
2022/6/29,20.8,雨後一時曇,雨時々曇,23.2,95,998.2,1003.3,1000.5,82,0,4.33,32,4,22.9,18.8,0,0,3.8,8.8,西,13.1,西,西南西
2022/6/30,19.3,曇時々雨,雨時々曇,21.1,94,1005.4,1010.5,1004.7,83,0,8.52,1,0.5,21.4,17.6,0,0,2.1,5.3,東南東,7,南南東,南南東
2022/7/1,18.3,曇時々雨,雨時々曇,20,96,1010.3,1015.5,1014,84,0,5.5,6,1.5,20.2,17,0,0,2,4.9,東,7.1,東,東南東
2022/7/2,20.7,曇時々雨,晴時々曇,22.4,92,1008.6,1013.7,1012.1,81,0,7.07,0,0,23.4,17.7,0,0,1.9,4.1,西北西,6.1,北西,西北西
2022/7/3,24,晴時々曇,晴時々曇,23.2,79,1004.7,1009.7,1007.7,60,9.1,22.88,0,0,29.8,18.3,0,0,2.8,6.5,西北西,10.5,西北西,西北西
2022/7/4,23.1,曇時々晴,曇時々晴,23.9,85,1003.1,1008.1,1007,73,4.4,15.67,0,0,27.3,19,0,0,2.2,5.2,南南西,9.2,南西,東南東
2022/7/5,23.9,曇時々晴、雷を伴う,曇時々晴、雷を伴う,25.6,87,1003.9,1009,1007.7,68,5.1,20.77,0,0,28.1,20.4,0,0,2,5.5,南南東,7.8,南南東,南東
2022/7/6,22.5,曇時々晴,曇一時晴,22.6,84,1007.2,1012.3,1009.7,70,6.4,22.06,0,0,25.7,19.6,0,0,4.2,7.2,東南東,11,南東,東南東
2022/7/7,20.1,曇後時々雨,曇一時晴後雨,20.6,88,1009.3,1014.4,1013.6,79,0,7.01,0,0,21.9,18.5,0,0,4.6,7,東,9.9,東南東,東南東
2022/7/8,20.4,曇時々雨,曇一時晴後時々雨,20.8,87,1006.5,1011.6,1010.2,67,2.3,14.95,0,0,26.4,18.3,0,0,4.5,8.1,東,11.2,東,東南東
2022/7/9,20,曇時々雨,雨時々曇,20.8,89,1003.4,1008.5,1006.6,77,0,7.39,1.5,0.5,23.1,17.9,0,0,4.2,8.3,東南東,11.7,東南東,東南東
2022/7/10,22.9,曇後晴一時雨,曇時々晴一時雨,22.6,82,1001.6,1006.6,1005.2,65,4,18.39,0,0,27,19.5,0,0,2.1,5.5,南南東,7.9,南南東,南
2022/7/11,24.4,晴,曇,24,79,1004.5,1009.5,1008.2,57,12.4,27.85,0,0,30.6,19.7,0,0,3.6,9.7,東南東,13.5,東南東,東
